County,Median_household_income
New York,64971
Westchester,79619
Nassau,93613
Putnam,89218
Suffolk,84506
Rockland,82534
Saratoga,65100
Columbia,55546
Dutchess,69838
Albany,56090
Richmond,71084
Hamilton,49557
Ulster,57584
Ontario,56468
Orange,69523
Warren,51619
Schenectady,55188
Rensselaer,54152
Onondaga,50676
Monroe,51303
Erie,47372
Tompkins,48655
Queens,55291
Schoharie,50864
Tioga,51948
Essex,45216
Genesee,49750
Broome,44457
Madison,53345
Niagara,45964
Wayne,52562
Kings,43567
Greene,46235
Oneida,46708
Chemung,44502
Sullivan,48103
Steuben,43867
Yates,46822
Fulton,43240
Cayuga,48415
Delaware,42967
Livingston,51690
Otsego,45268
Clinton,47489
Montgomery,42603
Washington,48327
Schuyler,47404
Cortland,45338
Chenango,43943
Herkimer,42318
Jefferson,43410
Seneca,46707
Oswego,45333
Chautauqua,40639
Lewis,42846
Cattaraugus,42466
Orleans,48063
Wyoming,50075
St. Lawrence,42303
Allegany,41305
Franklin,42050
Bronx,34264